Year,2010,2010,2010,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,Selected Years Total,Selected Years Total,Selected Years Total
Richmond,"1,278","2,594.40",High ,"1,165","2,349.20",High ,"1,156","2,353.10",High ,"1,113","2,314.40",High ,"1,213","2,546.60",High ,"1,002","2,118.40",High ,"1,066","2,268.80",High ,"1,024","2,201.10",High ,"9,017","2,345.10",High 
Rockdale,248,"1,080.60",Expected ,243,"1,074.60",Expected ,356,"1,594.90",High ,318,"1,412.70",High ,324,"1,440.50",High ,273,"1,209.70",High ,279,"1,245.70",High ,279,"1,237.90",High ,"2,320","1,286.10",High 
Spalding,90,555.9,Low ,266,"1,668.70",High ,263,"1,665.00",High ,189,"1,225.80",Expected ,197,"1,276.40",High ,142,927.7,Expected ,194,"1,266.60",High ,141,916.7,Expected ,"1,482","1,187.70",High 
Thomas,97,869.6,Expected ,106,955.2,Expected ,90,821,Low ,116,"1,071.10",Expected ,109,"1,013.30",Expected ,93,865.4,Expected ,89,823.5,Expected ,67,625,Low ,767,880.8,Low 
Tift,92,882.9,Expected ,85,814.2,Low ,92,899.9,Low ,96,942.1,Expected ,48,471.1,Low ,4,* ,* ,75,745,Low ,93,932.1,Expected ,585,716.5,Low 
Troup,170,954.9,Expected ,194,"1,094.00",Expected ,192,"1,074.60",Expected ,168,945,Expected ,186,"1,052.20",Expected ,204,"1,159.90",High ,242,"1,380.70",High ,246,"1,422.80",High ,"1,602","1,134.10",High 
Walker,31,191,Low ,17,107.8,Low ,41,263.4,Low ,32,207.2,Low ,24,156.4,Low ,29,192.9,Low ,38,253,Low ,34,225.7,Low ,246,199.2,Low 
Walton,210,928.6,Expected ,189,850.2,Low ,177,801,Low ,198,887.1,Low ,230,"1,013.40",Expected ,217,960.6,Expected ,265,"1,166.50",High ,207,903.7,Expected ,"1,693",939.7,Low 
Ware,198,"2,311.20",High ,205,"2,419.50",High ,186,"2,205.90",High ,153,"1,833.20",High ,105,"1,249.90",High ,94,"1,124.80",High ,88,"1,040.70",Expected ,106,"1,241.50",High ,"1,135","1,679.70",High 
Whitfield,73,248.5,Low ,86,296.5,Low ,78,270.8,Low ,92,328.9,Low ,73,263.3,Low ,69,249.9,Low ,55,198.3,Low ,44,160.9,Low ,570,252.7,Low 
County Summary,"22,224","1,074.40",High ,"22,503","1,084.90",High ,"25,116","1,206.60",High ,"22,496","1,078.40",High ,"21,470","1,027.00",High ,"19,093",909.3,High ,"20,050",951.6,High ,"21,228","1,004.50",High ,"174,180","1,041.70",High 
